k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
2,42,circle,0,2,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,circle,1,2,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,circle,2,2,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,circle,3,2,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,circle,4,2,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,circle,5,2,1,0.57908,0.468151,0.138948,36,3.177137,2.0,0
2,42,sphere,0,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,sphere,1,3,2,0.547818,0.432494,0.088434,17,3.177137,2.0,0
2,42,sphere,2,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,sphere,3,3,2,-0.029126,-0.151647,-0.521506,29,3.177137,2.0,0
2,42,sphere,4,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,sphere,5,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,0,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,1,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,2,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,3,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,4,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,mobius,5,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,0,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,1,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,2,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,3,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,4,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,swiss_roll,5,3,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,helix,0,3,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,helix,1,3,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,helix,2,3,1,0.614523,0.510267,0.196465,30,3.177137,2.0,0
2,42,helix,3,3,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,helix,4,3,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,helix,5,3,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,0,2,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,1,2,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,2,2,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,3,2,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,4,2,2,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,flat_disk,5,2,2,0.841501,0.72545,0.379485,22,3.177137,2.0,0
2,42,segment,0,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,segment,1,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,segment,2,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,segment,3,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,segment,4,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
2,42,segment,5,1,1,0.0,0.0,0.0,0,3.177137,2.0,0
4,42,circle,0,2,1,0.990925,0.862451,0.477654,9,0.799435,4.0,0
4,42,circle,1,2,1,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,circle,2,2,1,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,circle,3,2,1,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,circle,4,2,1,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,circle,5,2,1,0.484491,0.351431,-0.045311,36,0.799435,4.0,0
4,42,sphere,0,3,2,0.555471,0.424194,0.031292,14,0.799435,4.0,0
4,42,sphere,1,3,2,0.510907,0.378105,-0.020113,3,0.799435,4.0,0
4,42,sphere,2,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,sphere,3,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,sphere,4,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,sphere,5,3,2,0.526396,0.717708,0.030341,31,0.799435,4.0,0
4,42,mobius,0,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,mobius,1,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,mobius,2,3,2,0.978561,0.845252,0.450917,15,0.799435,4.0,0
4,42,mobius,3,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,mobius,4,3,2,0.504928,0.373059,-0.020344,24,0.799435,4.0,0
4,42,mobius,5,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,swiss_roll,0,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,swiss_roll,1,3,2,0.0,0.0,0.0,0,0.799435,4.0,0
4,42,swiss_roll,2,3,2,0.964787,0.833825,0.441508,26,0.799435,4.0,0
4,42,swiss_roll,3,3,2,0.956617,0.819765,0.40975,4,0.799435,4.0,0
