expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
481,1543.6646728515625,current_time,230,0.9043,0.0,-0.9043
1042,188.2755126953125,current_time,552,0.9076,0.0,-0.9076
622,162.54879760742188,current_time,552,0.9076,0.0,-0.9076
1288,125.5802001953125,current_time,276,0.9058,0.0,-0.9058
906,115.62983703613281,current_time,276,0.9094,0.0,-0.9094
1029,114.31511688232422,current_time,552,0.9076,0.0,-0.9076
445,100.01808166503906,current_time,552,0.9076,0.0,-0.9076
485,83.49995422363281,current_time,552,0.9076,0.0,-0.9076
542,78.68228912353516,current_time,161,0.9193,0.0,-0.9193
284,72.54640197753906,current_time,552,0.9076,0.0,-0.9076
481,1543.6646728515625,elapsed_time,120,0.9667,0.0083,-0.9583
1042,188.2755126953125,elapsed_time,288,0.9792,0.0,-0.9792
622,162.54879760742188,elapsed_time,288,0.9792,0.0035,-0.9757
1288,125.5802001953125,elapsed_time,144,0.9722,0.0069,-0.9653
906,115.62983703613281,elapsed_time,144,0.9861,0.0069,-0.9792
1029,114.31511688232422,elapsed_time,288,0.9792,0.0035,-0.9757
445,100.01808166503906,elapsed_time,288,0.9792,0.0035,-0.9757
485,83.49995422363281,elapsed_time,288,0.9792,0.0069,-0.9722
542,78.68228912353516,elapsed_time,84,1.0,0.0,-1.0
284,72.54640197753906,elapsed_time,288,0.9792,0.0069,-0.9722
