k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
2,42,circle,0,2,1,0.365508,0.465024,0.463232,22,1.316425,2.0,0
2,42,circle,1,2,1,0.296955,0.55731,0.555095,41,1.316425,2.0,0
2,42,circle,2,2,1,0.352563,0.475587,0.524854,38,1.316425,2.0,0
2,42,circle,3,2,1,0.429086,0.679339,0.734677,32,1.316425,2.0,0
2,42,circle,4,2,1,0.831405,0.830735,0.8279,30,1.316425,2.0,0
2,42,circle,5,2,1,0.512108,0.627168,0.626202,8,1.316425,2.0,0
2,42,sphere,0,3,2,0.058214,0.091178,0.095506,41,1.316425,2.0,0
2,42,sphere,1,3,2,0.21446,0.344694,0.359868,31,1.316425,2.0,0
2,42,sphere,2,3,2,0.56191,0.573878,0.573019,19,1.316425,2.0,0
2,42,sphere,3,3,2,0.600005,0.599136,0.59696,5,1.316425,2.0,0
2,42,sphere,4,3,2,0.143041,0.25422,0.266973,36,1.316425,2.0,0
2,42,sphere,5,3,2,0.058681,0.089931,0.112966,25,1.316425,2.0,0
2,42,mobius,0,3,2,0.365804,0.612479,0.707148,28,1.316425,2.0,0
2,42,mobius,1,3,2,0.378748,0.467057,0.55375,36,1.316425,2.0,0
2,42,mobius,2,3,2,0.407095,0.464978,0.467215,20,1.316425,2.0,0
2,42,mobius,3,3,2,0.133696,0.222072,0.283511,20,1.316425,2.0,0
2,42,mobius,4,3,2,0.582398,0.580838,0.578922,24,1.316425,2.0,0
2,42,mobius,5,3,2,0.536907,0.621195,0.619429,23,1.316425,2.0,0
2,42,swiss_roll,0,3,2,0.862236,0.861293,0.858355,31,1.316425,2.0,0
2,42,swiss_roll,1,3,2,0.642123,0.752816,0.751389,37,1.316425,2.0,0
2,42,swiss_roll,2,3,2,0.791118,0.78993,0.787368,26,1.316425,2.0,0
2,42,swiss_roll,3,3,2,0.716669,0.717605,0.716987,34,1.316425,2.0,0
2,42,swiss_roll,4,3,2,0.476187,0.621551,0.69855,17,1.316425,2.0,0
2,42,swiss_roll,5,3,2,0.722022,0.721422,0.718673,2,1.316425,2.0,0
2,42,helix,0,3,1,0.585667,0.584322,0.579165,29,1.316425,2.0,0
2,42,helix,1,3,1,0.374673,0.603166,0.601475,27,1.316425,2.0,0
2,42,helix,2,3,1,0.500049,0.49925,0.49669,19,1.316425,2.0,0
2,42,helix,3,3,1,0.556047,0.555124,0.553778,29,1.316425,2.0,0
2,42,helix,4,3,1,0.193276,0.379002,0.378085,6,1.316425,2.0,0
2,42,helix,5,3,1,0.336424,0.569518,0.568131,16,1.316425,2.0,0
2,42,flat_disk,0,2,2,0.214999,0.424753,0.423245,18,1.316425,2.0,0
2,42,flat_disk,1,2,2,0.332947,0.441465,0.544854,6,1.316425,2.0,0
2,42,flat_disk,2,2,2,0.635948,0.635638,0.634267,4,1.316425,2.0,0
2,42,flat_disk,3,2,2,0.62795,0.626884,0.624605,40,1.316425,2.0,0
2,42,flat_disk,4,2,2,0.415877,0.721436,0.750689,39,1.316425,2.0,0
2,42,flat_disk,5,2,2,0.584569,0.583449,0.580345,18,1.316425,2.0,0
2,42,segment,0,1,1,0.335297,0.603216,0.601741,1,1.316425,2.0,0
2,42,segment,1,1,1,0.40645,0.737278,0.73566,15,1.316425,2.0,0
2,42,segment,2,1,1,0.370234,0.559169,0.557819,11,1.316425,2.0,0
2,42,segment,3,1,1,0.278161,0.514994,0.513406,2,1.316425,2.0,0
2,42,segment,4,1,1,0.357672,0.67947,0.678055,0,1.316425,2.0,0
2,42,segment,5,1,1,0.300025,0.551523,0.550457,7,1.316425,2.0,0
4,42,circle,0,2,1,0.661467,0.807871,0.887796,34,0.199074,4.0,0
4,42,circle,1,2,1,0.967035,0.967035,0.94663,30,0.199074,4.0,0
4,42,circle,2,2,1,0.437596,0.859918,0.859918,21,0.199074,4.0,0
4,42,circle,3,2,1,0.794167,0.872521,0.872521,26,0.199074,4.0,0
4,42,circle,4,2,1,0.962829,0.962829,0.941215,16,0.199074,4.0,0
4,42,circle,5,2,1,0.984318,0.984318,0.963421,27,0.199074,4.0,0
4,42,sphere,0,3,2,0.621503,0.882925,0.882925,25,0.199074,4.0,0
4,42,sphere,1,3,2,0.636835,0.865368,0.865367,15,0.199074,4.0,0
4,42,sphere,2,3,2,0.275337,0.547934,0.810539,28,0.199074,4.0,0
4,42,sphere,3,3,2,0.628604,0.859537,0.859537,8,0.199074,4.0,0
4,42,sphere,4,3,2,0.60272,0.747628,0.815549,23,0.199074,4.0,0
4,42,sphere,5,3,2,0.274624,0.510142,0.729354,39,0.199074,4.0,0
4,42,mobius,0,3,2,0.959046,0.959046,0.938514,36,0.199074,4.0,0
4,42,mobius,1,3,2,0.970768,0.970768,0.951404,32,0.199074,4.0,0
4,42,mobius,2,3,2,0.97599,0.97599,0.956139,13,0.199074,4.0,0
4,42,mobius,3,3,2,0.528974,0.901447,0.901447,1,0.199074,4.0,0
4,42,mobius,4,3,2,0.487934,0.890132,0.890132,4,0.199074,4.0,0
4,42,mobius,5,3,2,0.811045,0.820357,0.820357,35,0.199074,4.0,0
4,42,swiss_roll,0,3,2,0.94125,0.94125,0.919731,29,0.199074,4.0,0
4,42,swiss_roll,1,3,2,0.552917,0.89197,0.89197,19,0.199074,4.0,0
4,42,swiss_roll,2,3,2,0.213941,0.426322,0.605666,3,0.199074,4.0,0
4,42,swiss_roll,3,3,2,0.444112,0.663531,0.780308,3,0.199074,4.0,0
4,42,swiss_roll,4,3,2,0.945639,0.945638,0.925755,14,0.199074,4.0,0
4,42,swiss_roll,5,3,2,0.443758,0.756261,0.75626,36,0.199074,4.0,0
4,42,helix,0,3,1,0.898327,0.898326,0.87889,41,0.199074,4.0,0
4,42,helix,1,3,1,0.360104,0.593194,0.835337,37,0.199074,4.0,0
4,42,helix,2,3,1,0.76086,0.825606,0.825605,33,0.199074,4.0,0
4,42,helix,3,3,1,0.581413,0.875725,0.875725,35,0.199074,4.0,0
4,42,helix,4,3,1,0.380661,0.599162,0.788958,6,0.199074,4.0,0
