k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
2,42,circle,0,2,1,-0.005814,-0.013774,-0.023255,34,3.167427,2.0,0
2,42,circle,1,2,1,-0.007311,-0.017255,-0.030833,34,3.167427,2.0,0
2,42,circle,2,2,1,-0.0079,-0.01952,-0.032345,34,3.167427,2.0,0
2,42,circle,3,2,1,0.028471,0.018357,0.007176,13,3.167427,2.0,0
2,42,circle,4,2,1,-0.008654,-0.019531,-0.034813,34,3.167427,2.0,0
2,42,circle,5,2,1,-0.007672,-0.015589,-0.029335,34,3.167427,2.0,0
2,42,sphere,0,3,2,-0.007681,-0.016423,-0.036749,34,3.167427,2.0,0
2,42,sphere,1,3,2,-0.00781,-0.01901,-0.03525,34,3.167427,2.0,0
2,42,sphere,2,3,2,-0.007182,-0.03034,-0.054331,34,3.167427,2.0,0
2,42,sphere,3,3,2,-0.006841,-0.016311,-0.033648,34,3.167427,2.0,0
2,42,sphere,4,3,2,-0.006257,-0.018214,-0.042132,16,3.167427,2.0,0
2,42,sphere,5,3,2,-0.007552,-0.015718,-0.040761,0,3.167427,2.0,0
2,42,mobius,0,3,2,-0.007118,-0.02107,-0.035404,34,3.167427,2.0,0
2,42,mobius,1,3,2,-0.007906,-0.01613,-0.034165,0,3.167427,2.0,0
2,42,mobius,2,3,2,0.001836,-0.006483,-0.023527,15,3.167427,2.0,0
2,42,mobius,3,3,2,-0.009579,-0.023088,-0.042569,34,3.167427,2.0,0
2,42,mobius,4,3,2,0.004283,-0.003363,-0.015775,24,3.167427,2.0,0
2,42,mobius,5,3,2,0.064482,0.055555,0.046447,3,3.167427,2.0,0
2,42,swiss_roll,0,3,2,0.22585,0.214651,0.203207,22,3.167427,2.0,0
2,42,swiss_roll,1,3,2,0.049728,0.042347,0.033628,8,3.167427,2.0,0
2,42,swiss_roll,2,3,2,0.319916,0.313533,0.301365,26,3.167427,2.0,0
2,42,swiss_roll,3,3,2,0.157993,0.203337,0.195637,4,3.167427,2.0,0
2,42,swiss_roll,4,3,2,0.368454,0.360722,0.347442,33,3.167427,2.0,0
2,42,swiss_roll,5,3,2,0.028366,0.028269,0.020111,32,3.167427,2.0,0
2,42,helix,0,3,1,-0.008247,-0.017921,-0.035756,34,3.167427,2.0,0
2,42,helix,1,3,1,-0.011018,-0.027716,-0.044726,0,3.167427,2.0,0
2,42,helix,2,3,1,0.091038,0.11574,0.107721,30,3.167427,2.0,0
2,42,helix,3,3,1,0.052597,0.041813,0.030633,6,3.167427,2.0,0
2,42,helix,4,3,1,0.121065,0.165382,0.150986,20,3.167427,2.0,0
2,42,helix,5,3,1,0.046929,0.038079,0.028108,8,3.167427,2.0,0
2,42,flat_disk,0,2,2,0.162253,0.156847,0.144602,28,3.167427,2.0,0
2,42,flat_disk,1,2,2,0.06583,0.057467,0.048071,35,3.167427,2.0,0
2,42,flat_disk,2,2,2,-0.008449,-0.018334,-0.035227,34,3.167427,2.0,0
2,42,flat_disk,3,2,2,0.013771,0.006862,-0.004468,21,3.167427,2.0,0
2,42,flat_disk,4,2,2,0.116825,0.106816,0.096033,19,3.167427,2.0,0
2,42,flat_disk,5,2,2,0.046711,0.038669,0.029064,1,3.167427,2.0,0
2,42,segment,0,1,1,0.152126,0.27345,0.265116,23,3.167427,2.0,0
2,42,segment,1,1,1,0.073371,0.128932,0.123868,31,3.167427,2.0,0
2,42,segment,2,1,1,0.110342,0.194758,0.188178,1,3.167427,2.0,0
2,42,segment,3,1,1,0.105771,0.178565,0.171767,14,3.167427,2.0,0
2,42,segment,4,1,1,0.155357,0.280803,0.2742,24,3.167427,2.0,0
2,42,segment,5,1,1,0.154074,0.284297,0.278523,10,3.167427,2.0,0
4,42,circle,0,2,1,-0.071484,-0.154723,-0.239754,9,0.846092,4.0,0
4,42,circle,1,2,1,-0.089578,-0.180926,-0.272646,17,0.846092,4.0,0
