expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
16,292.0957336425781,current_time,460,0.8522,0.0065,-0.8457
342,94.49380493164062,current_time,552,0.8533,0.0018,-0.8514
1509,78.08940887451172,current_time,230,0.8348,0.0174,-0.8174
1434,68.74853515625,current_time,552,0.8533,0.0054,-0.8478
478,51.024925231933594,current_time,368,0.856,0.0,-0.856
859,49.864620208740234,current_time,552,0.8533,0.0018,-0.8514
1914,45.63228225708008,current_time,552,0.8533,0.0072,-0.846
1928,45.37699890136719,current_time,552,0.8533,0.0091,-0.8442
1259,44.85515213012695,current_time,552,0.8533,0.0072,-0.846
1663,42.83692169189453,current_time,414,0.8527,0.0024,-0.8502
16,292.0957336425781,elapsed_time,240,0.4,0.1125,-0.2875
342,94.49380493164062,elapsed_time,288,0.4167,0.1042,-0.3125
1509,78.08940887451172,elapsed_time,120,0.4083,0.1167,-0.2917
1434,68.74853515625,elapsed_time,288,0.4167,0.1042,-0.3125
478,51.024925231933594,elapsed_time,192,0.3333,0.1198,-0.2135
859,49.864620208740234,elapsed_time,288,0.4167,0.1181,-0.2986
1914,45.63228225708008,elapsed_time,288,0.4167,0.1146,-0.3021
1928,45.37699890136719,elapsed_time,288,0.4167,0.1181,-0.2986
1259,44.85515213012695,elapsed_time,288,0.4167,0.1181,-0.2986
1663,42.83692169189453,elapsed_time,216,0.4444,0.1111,-0.3333
